time,open,high,low,close,Volume
2017-01-30,5.34,5.88,5.34,5.67,0
2017-02-06,5.61,5.8,5.61,5.63,0
2017-02-13,5.42,5.66,5.42,5.49,0
2017-02-20,5.61,5.91,5.57,5.91,0
2017-02-27,5.71,6.44,5.71,6.12,0
2017-03-06,6.01,6.01,5.64,5.69,0
2017-03-13,5.68,5.72,5.63,5.66,0
2017-03-20,5.51,5.51,5.29,5.29,0
2017-03-27,5.15,5.45,5.15,5.22,0
2017-04-03,5.39,5.61,5.16,5.43,0
2017-04-10,5.33,5.5,5.33,5.5,0
2017-04-17,5.5,5.5,5.12,5.12,0
2017-04-24,5.2,5.2,5.05,5.12,0
2017-05-01,5.12,5.12,4.95,5.12,0
2017-05-08,4.97,5.07,4.9,5.01,0
2017-05-15,4.94,5.4,4.94,5.4,0
2017-05-22,5.47,5.76,5.31,5.76,0
2017-05-29,5.75,5.75,5.53,5.72,0
2017-06-05,5.73,5.73,5.44,5.6,0
2017-06-12,5.48,5.58,5.44,5.44,0
2017-06-19,5.49,5.53,5.43,5.43,0
2017-06-26,5.34,5.64,5.34,5.6,0
2017-07-03,5.71,5.92,5.61,5.92,0
2017-07-10,5.98,6.06,5.91,6,0
2017-07-17,6,6.03,5.78,5.78,0
2017-07-24,5.82,5.94,5.82,5.87,0
2017-07-31,5.91,6.12,5.91,6.04,0
2017-08-07,5.95,6.17,5.95,6.17,0
2017-08-14,6.3,6.59,6.3,6.59,0
2017-08-21,6.52,6.87,6.52,6.87,0
2017-08-28,6.88,6.88,6.61,6.61,0
2017-09-04,6.69,7.74,6.69,7.74,0
2017-09-11,7.55,7.78,7.54,7.62,0
2017-09-18,7.4,7.7,7.23,7.32,0
2017-09-25,7.96,7.96,7.64,7.77,0
2017-10-02,7.64,7.7,7.6,7.7,0
2017-10-09,7.66,8.05,7.66,7.96,0
2017-10-16,7.96,8.42,7.96,8.18,0
2017-10-23,8.05,8.09,7.79,7.79,0
2017-10-30,7.76,8.5,7.76,8.5,0
2017-11-06,8.54,8.54,8.04,8.04,0
2017-11-13,7.99,8.33,7.99,8.11,0
2017-11-20,8.08,8.39,8.01,8.39,0
2017-11-27,8.33,8.33,8.15,8.31,0
2017-12-04,8.18,8.18,7.76,7.76,0
2017-12-11,7.82,7.83,7.73,7.83,0
2017-12-18,8.04,8.8,8.04,8.8,0
2017-12-26,8.8,8.82,8.78,8.78,0
2018-01-02,8.4,8.42,8.36,8.37,0
2018-01-08,8.25,8.46,8.25,8.44,0
2018-01-15,8.38,9.49,8.38,9.49,0
2018-01-22,9.55,10.26,9.55,9.91,0
2018-01-29,9.82,10.09,9.7,9.77,0
2018-02-05,9.87,10.03,9.6,10.03,0
2018-02-12,10.29,10.76,10.29,10.39,0
2018-02-19,10.79,10.79,10.48,10.73,0
2018-02-26,10.55,11.07,10.55,11.07,0
2018-03-05,11.29,12.09,11.29,12.09,0
2018-03-12,12.06,12.41,12.03,12.03,0
2018-03-19,11.92,13.57,11.92,13.53,0
2018-03-26,13.91,14.7,13.91,14.49,0
2018-04-02,14.49,14.51,13.86,14.21,0
2018-04-09,14.56,15.29,14.56,15.29,0
2018-04-16,15.37,15.37,14.47,14.47,0
2018-04-23,14.33,15.04,14.33,15.04,0
2018-04-30,15.06,15.06,14.46,14.52,0
2018-05-07,15.13,16.16,15.11,16.16,0
2018-05-14,16.18,16.87,15.86,16.86,0
2018-05-21,17.16,17.93,17.16,17.65,0
2018-05-28,17.95,17.95,16.64,17.03,0
2018-06-04,17.9,17.9,17.59,17.68,0
2018-06-11,17.44,17.44,16.46,16.46,0
2018-06-18,16.53,17.12,16.17,17.12,0
2018-06-25,17.05,17.29,17.02,17.02,0
2018-07-02,17.13,17.79,17.13,17.79,0
2018-07-09,18.09,18.49,18.09,18.23,0
2018-07-16,18.13,19.31,18.13,19.31,0
2018-07-23,19.63,20.07,19.63,19.88,0
2018-07-30,19.78,20.48,19.78,20.39,0
2018-08-06,20.82,21.13,20.62,21.13,0
2018-08-13,21.3,21.44,21.26,21.44,0
2018-08-20,21.84,24.23,21.84,24.23,0
2018-08-27,24.85,24.85,24.26,24.6,0
2018-09-03,23.68,26.73,23.65,26.73,0
2018-09-10,28.83,28.83,22.7,23.83,0
2018-09-17,24.87,26.48,24.24,26.48,0
2018-09-24,26.91,26.91,25.04,26.25,0
2018-10-01,26.94,28.2,26.86,28.2,0
2018-10-08,28.58,28.58,25.79,26.5,0
2018-10-15,24.48,24.83,24.48,24.63,0
2018-10-22,23.91,23.98,22.34,22.34,75
2018-10-29,21.25,21.25,19.56,21.22,1
2018-11-05,21.43,23.79,21.43,23.69,0
2018-11-12,24.74,24.74,23.13,23.15,0
2018-11-19,22.92,24.98,22.92,24.24,0
2018-11-26,23.86,24.41,23.34,24.41,0
2018-12-03,24.49,24.63,23.58,24.05,0
2018-12-10,24.62,27.24,23.92,27.24,0
2018-12-17,28.17,28.47,27.94,28.47,0
2018-12-24,28.75,28.75,28.52,28.52,0
2018-12-31,28.56,28.87,26.78,27.16,0
2019-01-07,25.72,26.63,25.67,26.63,0
2019-01-14,25.81,28.19,25.81,28.19,0
2019-01-21,27.73,28.32,26.98,26.98,0
2019-01-28,25.8,26.38,24.84,24.84,0
2019-02-04,25.92,26.53,25.27,25.27,0
2019-02-11,25.3,25.3,22.7,23.37,0
2019-02-18,22.93,23.4,21.68,21.79,0
2019-02-25,21.93,24.99,21.93,24.99,0
2019-03-04,25.86,26.02,24.86,25.78,0
2019-03-11,25.04,25.4,24.92,25.12,0
2019-03-18,24.42,24.42,23.21,23.21,0
2019-03-25,23.45,24.77,23.45,24.04,0
2019-04-01,24.08,26.9,24.08,26.9,21
2019-04-08,26.66,29.68,26.66,28.92,0
2019-04-15,29.15,29.81,29.15,29.24,0
2019-04-22,29.24,29.9,28.19,28.19,0
2019-04-29,28.67,28.67,26.88,27.35,0
2019-05-06,27.48,29.05,27.48,27.64,0
2019-05-13,27.05,27.98,26.93,26.93,0
2019-05-20,27.12,28.3,27.12,27.4,0
2019-05-27,27.53,27.53,26.27,26.27,0
2019-06-03,25.56,26.52,25.56,26.52,0
2019-06-10,27.22,27.22,26.78,27.01,0
2019-06-17,26.98,27.28,26.93,27.28,0
2019-06-24,28.39,29.55,28.34,28.34,50
2019-07-01,29.03,29.03,28.16,28.56,0
2019-07-08,29.08,31.34,28.83,31.34,0
2019-07-15,31.7,31.7,30.4,31.5,0
2019-07-22,31.6,32.49,30.89,30.89,0
2019-07-29,30.99,31.98,30.43,31.76,0
2019-08-05,31.19,31.19,30.5,30.5,0
2019-08-12,29.05,29.44,28.29,28.29,0
2019-08-19,28.87,28.87,27.28,27.28,0
2019-08-26,28.01,28.59,27.57,28.35,0
2019-09-02,27.14,27.37,26.91,26.91,0
2019-09-09,26.83,28.54,26.83,28.22,0
2019-09-16,28.89,28.89,27.29,28.41,0
2019-09-23,27.66,27.66,27.08,27.17,0
2019-09-30,26.6,26.89,24.77,24.77,0
2019-10-07,25.21,26.22,24.36,26.22,0
2019-10-14,25.92,28.09,25.92,27.66,0
2019-10-21,27.67,27.67,26.37,26.56,0
2019-10-28,26.69,27.52,26.69,26.75,10
2019-11-04,27.1,27.1,26.25,26.29,0
2019-11-11,26.38,26.38,25.3,25.3,0
2019-11-18,24.86,26.04,24.86,26.04,0
2019-11-25,25.89,26.67,25.84,26.67,0
2019-12-02,25.79,26.41,25.47,26.41,0
2019-12-09,26.6,26.6,25.44,25.44,0
2019-12-16,26.25,28.09,26.25,27.92,5
2019-12-23,27.79,27.96,27.33,27.96,5
2019-12-30,26.34,26.34,25.61,26.21,0
2020-01-06,25.45,25.9,25.3,25.43,6
2020-01-13,25.35,26.66,25.06,26.66,0
2020-01-20,26.39,26.6,25.57,25.57,17
2020-01-27,25.73,25.78,24.81,24.95,6
2020-02-03,24.28,24.82,24.28,24.39,10
2020-02-10,24.22,25.46,24.22,25.35,0
2020-02-17,26.12,26.79,26.12,26.69,0
2020-02-24,25.8,25.8,24.65,24.68,53
2020-03-02,24.59,24.9,24.43,24.49,100
2020-03-09,24.34,25.16,23.05,23.05,0
2020-03-16,21.29,21.29,16.85,17.65,154
2020-03-23,17.16,19.12,17.16,17.98,59
2020-03-30,18.64,19.66,18.64,19.58,100
2020-04-06,21.48,22.77,21.48,22.7,30
2020-04-13,22.7,23.3,20.81,23.3,1398
2020-04-20,22.97,22.97,21.46,22.38,37
2020-04-27,21.95,21.95,20.62,20.62,25
2020-05-04,21,21.13,20.65,20.95,18
2020-05-11,20.66,20.77,20.11,20.77,46
2020-05-18,21.94,23,21.56,23,0
2020-05-25,23.19,23.22,22.85,22.99,0
2020-06-01,22.82,24.84,22.56,24.84,33
2020-06-08,24.3,24.49,23.59,23.59,36
2020-06-15,23.74,26.05,23.74,25.74,16
2020-06-22,26.1,27,26.1,26.32,0
2020-06-29,28.23,29.66,28.23,29.56,4
2020-07-06,31.22,31.38,29.49,30.7,43
2020-07-13,31.08,32.18,28.93,30,190
2020-07-20,28.36,29.55,28.36,28.59,45
2020-07-27,27.78,28.6,27.19,28.6,88
2020-08-03,28.48,29.19,28.48,28.71,0
2020-08-10,29,29,27.69,27.74,0
2020-08-17,28.55,28.77,27.78,27.78,177
2020-08-24,29.6,31.68,29.6,31.68,230
2020-08-31,30.83,30.83,29.35,29.35,0
2020-09-07,28.96,30.27,28.64,30.11,163
2020-09-14,32.34,32.34,29.79,29.79,40
2020-09-21,28.1,29.5,27.76,27.76,341
2020-09-28,29.29,29.29,28.01,28.57,25
2020-10-05,28.8,29.19,27.14,27.29,67
2020-10-12,27.45,27.45,26.41,26.41,130
2020-10-19,26.5,26.99,25.09,26.99,55
2020-10-26,25.34,25.54,24.51,25.19,35
2020-11-02,25.15,27.42,25.15,26.84,284
2020-11-09,27.95,27.95,27.24,27.59,450
2020-11-16,28.7,28.7,27.59,27.99,180
2020-11-23,28.52,29.44,28.52,29.44,121
2020-11-30,30.45,31.41,30.22,31.41,35
2020-12-07,31.12,32.17,30.87,31.79,67
2020-12-14,32.42,33.3,32.07,32.13,158
2020-12-21,31.91,33.19,31.91,33.19,22
2020-12-28,34.38,34.46,33.22,33.74,15
2021-01-04,34.71,35.97,33.97,35.97,9
2021-01-11,35.49,36.41,32.81,32.81,270
2021-01-18,33.13,35.29,32.69,35.29,496
2021-01-25,34.21,34.98,33.99,33.99,100
2021-02-01,33.88,39.71,33.88,39.22,510
2021-02-08,40.07,41.2,38.94,41.2,884
2021-02-15,41.04,41.09,38.81,38.81,2211
2021-02-22,38.84,40.55,37.89,38.71,223
2021-03-01,38.57,40.49,38.57,40.49,124
2021-03-08,40.6,44.35,40.6,44.35,310
2021-03-15,43.89,45.23,43.12,43.48,305
2021-03-22,43.46,44.35,41.75,43.28,244
2021-03-29,43.39,44.28,43.39,44,308
2021-04-05,44,45.8,44,45.28,107
2021-04-12,46.11,46.38,45.48,46.11,81
2021-04-19,46.05,48.98,46.05,48.82,1170
2021-04-26,49.38,51.01,49.1,51.01,1132
