time,open,high,low,close,Volume
2022-09-12,2.3,2.31,2.09,2.09,0
2022-09-19,2.11,2.11,2,2,0
2022-09-26,2.01,2.03,1.92,1.92,0
2022-10-03,2.05,2.11,1.99,2.11,0
2022-10-10,1.98,1.99,1.86,1.86,0
2022-10-17,1.77,1.77,1.67,1.72,40
2022-10-24,1.65,1.73,1.65,1.73,0
2022-10-31,1.76,1.77,1.58,1.58,4
2022-11-07,1.61,1.61,1.36,1.54,18
2022-11-14,1.54,1.54,1.42,1.46,5
2022-11-21,1.55,1.55,1.43,1.49,347
2022-11-28,1.48,1.57,1.45,1.45,1976
2022-12-05,1.5,1.5,0.81,1.15,175
2022-12-12,1.14,1.21,1,1,171
2022-12-19,1,1.28,0.92,1.02,16
2022-12-27,1.16,1.29,1.14,1.29,0
2023-01-03,1.16,1.19,0.9,0.91,15
2023-01-09,0.94,0.94,0.88,0.91,1
2023-01-17,0.94,1.28,0.91,1.28,19
2023-01-23,1.04,1.04,0.75,0.83,2
2023-01-30,0.77,0.77,0.62,0.74,2
2023-02-06,0.9,0.91,0.83,0.85,0
2023-02-13,0.88,0.96,0.84,0.91,4
2023-02-21,0.88,0.92,0.87,0.92,0
2023-02-27,0.92,0.92,0.8,0.8,0
2023-03-06,0.8,0.84,0.8,0.84,0
2023-03-13,0.82,0.84,0.8,0.8,0
2023-03-20,0.8,0.9,0.74,0.74,0
2023-03-27,0.72,0.87,0.72,0.87,0
2023-04-03,0.94,0.94,0.9,0.9,0
2023-04-10,0.91,0.91,0.75,0.75,0
2023-04-17,0.73,0.79,0.7,0.72,0
2023-04-24,0.74,0.82,0.74,0.76,0
2023-05-01,0.73,0.73,0.67,0.67,0
2023-05-08,0.69,0.69,0.69,0.69,0
2023-05-15,0.69,0.69,0.67,0.67,0
2023-05-22,0.67,0.68,0.67,0.67,0
2023-05-30,0.63,0.63,0.52,0.52,3
2023-06-05,0.51,0.51,0.46,0.46,0
2023-06-12,0.47,0.47,0.35,0.35,0
2023-06-20,0.57,0.6,0.18,0.6,5
2023-06-26,0.62,0.69,0.59,0.68,0
2023-07-03,0.92,0.96,0.75,0.91,20
2023-07-10,0.9,0.93,0.85,0.86,23
2023-07-17,0.87,0.94,0.87,0.9,6
2023-07-24,0.82,0.82,0.75,0.77,2
2023-07-31,0.77,0.77,0.71,0.74,0
2023-08-07,0.78,0.78,0.72,0.72,0
2023-08-14,0.75,0.75,0.63,0.63,0
2023-08-21,0.7,0.86,0.7,0.74,9
2023-08-28,0.75,0.76,0.75,0.76,0
2023-09-05,0.77,0.77,0.77,0.77,0
2023-09-11,0.76,0.8,0.73,0.73,2
2023-09-18,0.73,0.99,0.73,0.83,8
2023-09-25,0.77,0.77,0.72,0.72,0
2023-10-02,0.74,0.74,0.7,0.7,0
2023-10-09,0.7,0.7,0.7,0.7,0
2023-10-16,0.7,0.7,0.7,0.7,0
2023-10-23,0.7,0.7,0.65,0.65,0
2023-10-30,0.52,0.53,0.52,0.53,0
2023-11-06,0.53,0.59,0.49,0.59,0
2023-11-13,0.62,0.87,0.62,0.87,4
2023-11-20,0.97,1,0.62,0.67,10
2023-11-27,0.67,0.69,0.54,0.64,1547
2023-12-04,0.59,0.71,0.59,0.66,43
2023-12-11,0.69,0.75,0.56,0.61,647
2023-12-18,0.6,0.66,0.31,0.55,36
2023-12-26,0.55,0.55,0.55,0.55,0
2024-01-02,0.5,0.55,0.5,0.54,0
2024-01-08,0.54,0.72,0.54,0.65,0
2024-01-16,0.71,0.72,0.6,0.6,0
2024-01-22,0.58,0.69,0.57,0.67,0
2024-01-29,0.62,0.71,0.62,0.71,0
2024-02-05,0.71,0.71,0.6,0.6,0
2024-02-12,0.6,0.6,0.6,0.6,0
2024-02-20,0.6,0.6,0.6,0.6,0
2024-02-26,0.6,0.6,0.6,0.6,0
2024-03-04,0.6,0.6,0.6,0.6,0
2024-03-11,0.6,0.6,0.6,0.6,0
2024-03-18,0.6,0.6,0.6,0.6,0
2024-03-25,0.6,0.6,0.6,0.6,0
2024-04-01,0.6,0.6,0.6,0.6,0
2024-04-08,0.6,0.6,0.6,0.6,0
2024-04-15,0.6,0.6,0.6,0.6,0
2024-04-22,0.6,0.61,0.6,0.61,0
2024-04-29,0.61,0.61,0.61,0.61,0
2024-05-06,0.61,0.61,0.61,0.61,0
2024-05-13,0.61,0.61,0.61,0.61,0
2024-05-20,0.61,0.61,0.61,0.61,0
2024-05-28,0.61,0.61,0.61,0.61,0
2024-06-03,0.61,0.61,0.61,0.61,0
2024-06-10,0.61,0.61,0.61,0.61,0
2024-06-17,0.56,0.56,0.55,0.56,0
2024-06-24,0.56,0.56,0.56,0.56,0
2024-07-01,0.56,0.56,0.56,0.56,0
2024-07-08,0.56,0.56,0.56,0.56,0
2024-07-15,0.56,0.56,0.56,0.56,0
2024-07-22,0.56,0.56,0.56,0.56,0
2024-07-29,0.56,0.56,0.56,0.56,0
2024-08-05,0.56,0.56,0.56,0.56,0
2024-08-12,0.56,0.56,0.56,0.56,0
2024-08-19,0.56,0.57,0.56,0.57,0
2024-08-26,0.57,0.57,0.57,0.57,0
2024-09-03,0.57,0.57,0.57,0.57,0
2024-09-09,0.57,0.57,0.57,0.57,0
2024-09-16,0.57,0.57,0.57,0.57,0
2024-09-23,0.57,0.57,0.57,0.57,0
2024-09-30,0.57,0.57,0.57,0.57,0
