time,open,high,low,close,Volume
2021-03-01,2.12,2.75,2.12,2.74,25
2021-03-08,2.73,2.73,2.57,2.63,2
2021-03-15,2.63,2.63,2.46,2.46,1
2021-03-22,2.46,2.46,2.39,2.39,1
2021-03-29,2.32,2.32,2.32,2.32,0
2021-04-05,2.32,2.32,2.2,2.2,5
2021-04-12,2.2,2.2,1.92,2.11,2
2021-04-19,2.11,2.16,2.11,2.14,1
2021-04-26,2.1,2.1,1.95,1.95,4
2021-05-03,1.95,2.01,1.95,2.01,2
2021-05-10,2.01,2.12,2.01,2.12,0
2021-05-17,2.12,2.16,2.12,2.16,5
2021-05-24,2.16,2.25,2.16,2.25,4
2021-06-01,2.35,2.42,2.35,2.42,2
2021-06-07,2.42,2.55,2.42,2.55,1
2021-06-14,2.55,2.76,2.55,2.72,4
2021-06-21,2.72,2.9,2.72,2.82,1
2021-06-28,2.9,3,2.9,3,3
2021-07-06,3,3,2.96,2.96,8
2021-07-12,2.93,3.06,2.92,3.06,20
2021-07-19,3.1,3.12,2.93,3.1,7
2021-07-26,3.17,3.28,3.17,3.28,1
2021-08-02,3.4,3.81,3.4,3.81,315
2021-08-09,3.84,5.1,3.84,5.09,355
2021-08-16,5.3,5.62,5.09,5.09,341
2021-08-23,5.08,6.34,5.08,6.2,404
2021-08-30,6.36,7.85,6.28,7.56,66
2021-09-07,7.7,7.7,7.34,7.42,87
2021-09-13,7.52,7.84,7.38,7.5,69
2021-09-20,7.42,7.42,6,7.14,88
2021-09-27,7.27,7.64,7.19,7.19,105
2021-10-04,7.17,7.17,6.26,6.31,101
2021-10-11,6.08,6.49,5.82,6.02,59
2021-10-18,6.21,7.61,6.21,7.61,41
2021-10-25,7.6,7.72,7,7.31,121
2021-11-01,7.24,8.2,7.24,8.09,73
2021-11-08,8.41,8.91,8.26,8.57,104
2021-11-15,8.64,8.89,8.64,8.89,12
2021-11-22,8.78,9.06,8.78,8.79,90
2021-11-29,8.8,8.9,8.5,8.7,114
2021-12-06,8.64,8.83,7.87,7.88,228
2021-12-13,7.87,7.87,7.18,7.18,359
2021-12-20,7.17,7.45,7,7.45,110
2021-12-27,7.92,8.12,7.92,8,75
2022-01-03,8.23,8.34,7.68,7.72,60
2022-01-10,7.42,7.63,7.2,7.63,97
2022-01-18,8,8,7.66,7.66,33
2022-01-24,7.45,7.72,7.29,7.44,68
2022-01-31,7.39,7.68,7.39,7.64,20
2022-02-07,7.79,7.82,7.38,7.43,57
2022-02-14,7.19,7.19,6.56,6.76,57
2022-02-22,6.65,6.65,5.73,6.17,58
2022-02-28,6.22,6.22,5.45,5.45,25
2022-03-07,5.4,5.91,5.25,5.9,1014
2022-03-14,5.9,6.25,5.9,6.15,146
2022-03-21,6,6.18,5.72,6.05,87
2022-03-28,6.07,6.4,6.07,6.38,3
