time,open,high,low,close,Volume
2021-08-02,14.05,14.05,10.42,12.09,0
2021-08-09,12.09,13.37,12.09,13.37,0
2021-08-16,14.37,14.37,12.84,12.84,0
2021-08-23,13.38,13.92,13.03,13.92,0
2021-08-30,13.92,14.6,13.92,14.24,0
2021-09-07,14.28,14.47,14.11,14.36,0
2021-09-13,14.57,14.83,14.38,14.83,0
2021-09-20,14.31,14.4,11.6,11.6,0
2021-09-27,11.72,11.92,11.65,11.71,0
2021-10-04,11.86,12.04,11.84,11.84,0
2021-10-11,11.84,12.06,11.84,11.96,0
2021-10-18,12.18,12.57,12.18,12.57,0
2021-10-25,12.7,13.35,11.75,13.27,0
2021-11-01,13.19,16.11,13.19,16.11,0
2021-11-08,17.06,17.93,17.06,17.57,0
2021-11-15,18.09,18.64,18.09,18.64,0
2021-11-22,18.81,19.79,18.74,19.79,0
2021-11-29,19.99,20.14,19.56,19.92,0
2021-12-06,19.96,19.96,18.95,19.18,0
2021-12-13,19.13,19.13,18.3,18.3,0
2021-12-20,18.65,18.85,18.65,18.85,0
2021-12-27,18.74,19.55,18.74,19.29,0
2022-01-03,19.74,19.96,19.74,19.91,0
2022-01-10,19.91,20.85,19.91,20.85,0
2022-01-18,21.29,21.29,19.16,19.16,0
2022-01-24,18.96,18.96,17.59,17.59,0
2022-01-31,17.43,17.59,17.12,17.59,0
2022-02-07,17.79,18.52,17.79,18.52,0
2022-02-14,18.28,18.32,17.97,18.14,0
2022-02-22,17.24,17.24,16.45,16.75,0
2022-02-28,17.5,17.5,14.93,14.93,0
2022-03-07,14.77,14.91,12.83,14.64,450
2022-03-14,14.89,14.89,14.29,14.55,650
2022-03-21,14.67,15.32,14.67,15.26,0
2022-03-28,15.21,16.24,15.21,16.24,50
2022-04-04,16.44,16.98,16.25,16.98,0
2022-04-11,17.08,17.36,17.06,17.26,0
2022-04-18,17.15,17.15,17,17,0
2022-04-25,17.2,17.26,17.05,17.11,0
2022-05-02,17.11,17.11,16.83,16.89,0
2022-05-09,16.91,16.91,16.56,16.56,0
2022-05-16,16.71,16.84,16.71,16.82,0
2022-05-23,16.77,16.87,16.71,16.87,0
2022-05-31,16.87,16.87,16.67,16.67,0
2022-06-06,16.7,16.7,14.7,15.12,0
2022-06-13,14.27,14.27,13.47,13.69,2981
2022-06-21,13.29,13.29,12.54,12.72,675
2022-06-27,12.93,12.93,12.34,12.34,100
2022-07-05,12.44,13.51,12.44,12.89,0
2022-07-11,12.76,12.76,12.47,12.47,0
2022-07-18,12.42,12.42,11.42,11.42,0
2022-07-25,11.2,11.32,10.96,11.13,0
2022-08-01,10.63,11.6,10.63,11.6,0
2022-08-08,11.43,11.82,11.39,11.82,0
2022-08-15,11.94,13.1,11.94,13.1,100
2022-08-22,13.14,14.18,13.14,13.9,0
2022-08-29,13.97,13.97,12.67,12.75,0
2022-09-06,12.76,13.35,12.76,13.35,0
2022-09-12,13.6,14.67,13.6,14.05,50
2022-09-19,14.04,14.2,13.59,13.88,315
2022-09-26,13.78,13.78,13.3,13.31,0
2022-10-03,13.45,13.51,13.25,13.51,0
2022-10-10,13.35,13.35,12.54,12.54,0
2022-10-17,12.42,12.42,11.46,11.46,0
2022-10-24,11.31,12.07,11.31,12.07,50
2022-10-31,12.18,12.18,11.21,11.21,20
2022-11-07,11.08,11.08,10.55,10.85,600
2022-11-14,10.9,10.9,10.75,10.79,621
2022-11-21,10.74,10.74,10.61,10.65,250
2022-11-28,10.64,10.65,10.35,10.35,61
2022-12-05,10.34,10.34,7.1,8.12,633
2022-12-12,8.34,8.35,7.47,7.47,212
2022-12-19,7.5,7.89,7.44,7.89,48
2022-12-27,8.02,8.12,8.02,8.08,0
2023-01-03,8.22,8.22,7.06,7.06,112
2023-01-09,7,7,5.43,5.59,1536
2023-01-17,5.5,5.66,4.76,4.98,1362
2023-01-23,4.99,5.15,4.27,4.27,974
2023-01-30,4.2,4.2,2.4,3.29,1105
2023-02-06,3.63,4.95,3.63,4.93,1817
2023-02-13,5.02,5.65,4.15,4.48,717
2023-02-21,4.53,5.08,4.53,5.08,465
2023-02-27,5.12,5.12,4.52,4.52,279
2023-03-06,4.56,4.58,4.47,4.47,218
2023-03-13,4.39,4.45,4.15,4.42,179
2023-03-20,4.36,4.39,4,4.01,78
2023-03-27,4.02,4.5,4.02,4.48,166
2023-04-03,4.46,4.5,4.37,4.38,149
2023-04-10,4.36,4.36,3.92,3.92,216
2023-04-17,3.93,3.93,3.61,3.66,91
2023-04-24,3.65,3.8,3.65,3.74,58
2023-05-01,3.88,3.88,3.1,3.16,217
2023-05-08,3.11,3.12,2.66,2.66,272
2023-05-15,2.6,2.63,2.37,2.37,186
2023-05-22,2.38,2.45,1.72,1.78,133
2023-05-30,1.65,1.65,1.37,1.37,263
2023-06-05,1.62,1.95,1.62,1.86,161
2023-06-12,1.81,2.04,1.81,1.88,215
2023-06-20,1.82,1.91,1.82,1.89,52
2023-06-26,1.8,2.24,1.8,2.24,140
2023-07-03,2.33,2.72,2.33,2.71,63
2023-07-10,2.61,3.13,2.61,2.86,142
2023-07-17,2.81,2.89,2.76,2.76,37
2023-07-24,2.66,2.66,2.27,2.27,77
2023-07-31,2.3,2.3,2.21,2.23,91
2023-08-07,2.24,2.29,2.13,2.16,28
2023-08-14,2.14,2.14,1.86,1.86,86
2023-08-21,1.88,1.91,1.78,1.87,62
2023-08-28,1.85,2.2,1.84,2.17,230
2023-09-05,2.22,2.22,2,2,36
2023-09-11,2.08,2.1,1.91,2.05,43
2023-09-18,2.1,2.52,2.1,2.5,101
2023-09-25,2.44,2.44,2.05,2.08,241
2023-10-02,2.09,2.12,1.98,2,505
2023-10-09,1.97,1.97,1.86,1.89,55
2023-10-16,1.87,1.93,1.87,1.87,119
2023-10-23,1.86,1.88,1.78,1.78,363
2023-10-30,1.76,1.79,1.5,1.54,599
2023-11-06,1.56,1.66,1.33,1.43,728
2023-11-13,1.42,1.5,1.34,1.5,485
2023-11-20,1.5,1.51,1.16,1.25,258
2023-11-27,1.27,1.38,1.1,1.34,1197
2023-12-04,1.32,1.41,1.32,1.34,899
2023-12-11,1.33,1.46,1.26,1.27,1246
2023-12-18,1.33,1.33,0.62,0.97,1285
2023-12-26,0.97,0.97,0.86,0.89,582
2024-01-02,0.9,1.29,0.85,1.11,3078
2024-01-08,1.16,1.99,1.16,1.81,1597
2024-01-16,1.79,1.8,1.25,1.25,2083
2024-01-22,1.26,1.35,1.2,1.32,1269
2024-01-29,1.3,1.65,1.3,1.59,999
2024-02-05,1.7,1.7,1.4,1.42,765
2024-02-12,1.42,1.51,1.42,1.51,2597
2024-02-20,1.5,1.54,1.4,1.51,2436
2024-02-26,1.56,1.56,1.46,1.53,2309
2024-03-04,1.54,1.61,1.14,1.3,3090
2024-03-11,1.26,1.33,1.2,1.23,4137
2024-03-18,1.2,1.2,0.97,0.98,2285
2024-03-25,0.95,0.95,0.85,0.91,532
2024-04-01,0.91,1.33,0.81,1.16,2666
2024-04-08,1.03,1.5,1.03,1.39,687
2024-04-15,1.45,1.47,1.31,1.36,840
2024-04-22,1.48,1.54,1.4,1.46,755
2024-04-29,1.38,1.48,0.96,0.98,363
2024-05-06,1.08,1.08,0.95,1.05,555
2024-05-13,1.01,1.14,1.01,1.07,1706
2024-05-20,1.08,1.09,0.96,0.97,1649
2024-05-28,0.97,1.04,0.96,1.02,1101
2024-06-03,1.03,1.03,0.97,1.01,599
2024-06-10,1.02,1.06,0.98,1,1177
2024-06-17,0.98,1,0.94,0.97,235
2024-06-24,0.95,1.02,0.95,1.02,46
2024-07-01,1.01,1.03,0.98,1,989
2024-07-08,0.99,1.05,0.99,1.03,523
2024-07-15,1.03,1.04,1,1.03,124
2024-07-22,1.03,1.03,0.97,0.98,550
2024-07-29,0.98,0.98,0.78,0.78,134
2024-08-05,0.74,0.74,0.28,0.5,705
2024-08-12,0.48,0.5,0.43,0.47,743
2024-08-19,0.45,0.48,0.42,0.47,1326
2024-08-26,0.45,0.45,0.35,0.38,558
2024-09-03,0.37,0.37,0.29,0.31,246
2024-09-09,0.26,0.29,0.2,0.27,658
2024-09-16,0.27,0.32,0.27,0.28,1598
2024-09-23,0.3,0.33,0.29,0.33,204
2024-09-30,0.33,0.35,0.3,0.34,1681
2024-10-07,0.3,0.32,0.27,0.3,154
